perturbagen,treatment,cellline,similarity
Fluoxetine,IL6ST,A375,0.7982
Fluoxetine,SOCS4,A375,-0.7166
Fluoxetine,SOCS2,A375,0.6705
Fluoxetine,STAT6,A375,0.6558
Fluoxetine,REL,A375,0.63
Fluoxetine,STAT5A,A375,0.5984
Fluoxetine,JAK2,A375,0.4532
Fluoxetine,JAK3,A375,0.3478
Fluoxetine,SOCS5,A375,0.3164
Fluoxetine,IKBKE,A375,0.3104
Fluoxetine,RELA,A375,-0.3984
Fluoxetine,IKBKAP,A375,0.3682
Fluoxetine,STAT1,A375,0.336
Bupropion,REL,A375,0.5969
Bupropion,TNF,A375,-0.5873
Bupropion,STAT6,A375,0.5865
Bupropion,IKBKE,A375,0.5613
Bupropion,SOCS1,A375,-0.5432
Bupropion,STAT5B,A375,0.5156
Bupropion,RELA,A375,-0.504
Bupropion,IKBKB,A375,0.4916
Bupropion,STAT5A,A375,0.4836
Bupropion,SOCS4,A375,-0.3527
Bupropion,SOCS2,A375,0.3703
Bupropion,IL6ST,A375,0.3677
Bupropion,STAT3,A375,0.2602
Bupropion,NFKB1,A375,0.2407
Paroxetine,JAK1,A375,0.2995
Paroxetine,SOCS5,A375,0.2836
Paroxetine,STAT6,A375,0.4427
Paroxetine,IL6ST,A375,0.4426
Paroxetine,SOCS2,A375,0.4333
Paroxetine,STAT5A,A375,0.4199
Paroxetine,IKBKB,A375,0.3831
Paroxetine,REL,A375,0.3609
Paroxetine,IKBKE,A375,0.2752
Paroxetine,JAK3,A375,0.241
Paroxetine,RELB,A375,0.3004
Paroxetine,STAT2,A375,0.3003
Paroxetine,IKBKAP,A375,0.2436
Paroxetine,IL6,A375,0.3141
Paroxetine,SOCS4,A375,0.2599
Paroxetine,NFKB1,A375,0.3509
Paroxetine,RELA,A375,0.2798
Paroxetine,TNF,A375,0.2751
Paroxetine,JAK2,A375,0.2747
Dexamethasone,JAK1,A375,0.2385
Dexamethasone,SOCS1,A375,0.3365
Dexamethasone,SOCS4,A375,-0.5654
Dexamethasone,TNF,A375,-0.539
Dexamethasone,IL6ST,A375,0.6132
Dexamethasone,STAT6,A375,0.5678
Dexamethasone,STAT5A,A375,0.5299
Dexamethasone,SOCS2,A375,0.502
Dexamethasone,IKBKE,A375,0.4902
Dexamethasone,STAT5B,A375,0.2809
Dexamethasone,STAT1,A375,0.3237
Dexamethasone,REL,A375,0.439
Dexamethasone,RELB,A375,0.2979
Chloroquine,JAK2,A375,0.703
Chloroquine,RELA,A375,0.3406
Pyrrolidine Dithiocarbamate,STAT3,A375,0.4853
Pyrrolidine Dithiocarbamate,IL6ST,A375,0.4687
Pyrrolidine Dithiocarbamate,IKBKAP,A375,0.3481
Pyrrolidine Dithiocarbamate,STAT1,A375,0.3217
Pyrrolidine Dithiocarbamate,STAT6,A375,0.3039
Pyrrolidine Dithiocarbamate,SOCS2,A375,0.2919
Rolipram,NFKB1,A375,0.4663
Rolipram,IL6,A375,0.4283
Rolipram,JAK1,A375,0.3884
Rolipram,TNF,A375,0.4646
Rolipram,SOCS1,A375,0.4168
Rolipram,SOCS4,A375,0.3821
Rolipram,STAT4,A375,0.3668
Rolipram,IKBKAP,A375,0.2819
Rolipram,IKBKE,A375,0.2145
Rolipram,JAK3,A375,-0.2193
Rolipram,RELB,A375,0.2995
